s vacf_x VACF
1600 3.0307920407947773256e-08 1.8516633901475710469e-08
1610 2.4632518267315132614e-08 7.5991568522133585894e-09
1620 1.8768288604662667283e-08 -3.5283316441593257373e-09
1630 1.2832629579684631975e-08 -1.4839758158379006124e-08
1640 6.9499137103198730442e-09 -2.6286674941203596443e-08
1650 1.2427710780671350174e-09 -3.7789660842410622669e-08
1660 -4.1723618326093238069e-09 -4.9225630341306501163e-08
1670 -9.1873655263670062363e-09 -6.0426248931229743625e-08
1680 -1.3707093524777037142e-08 -7.1183708655119246731e-08
1690 -1.7646545859783089041e-08 -8.1275393354880309706e-08
1700 -2.0934998019883755535e-08 -9.0489273966456540889e-08
1710 -2.3520407279386560512e-08 -9.8643376323400096909e-08
1720 -2.5379869267498309504e-08 -1.0561558343228384067e-07
1730 -2.6525438171312693114e-08 -1.113486873948052359e-07
1740 -2.7008748366044807983e-08 -1.1583144441561657714e-07
1750 -2.6904801784237565269e-08 -1.1908107400002383253e-07
1760 -2.6303846058322436081e-08 -1.2111570077436430431e-07
1770 -2.5290776290983464421e-08 -1.2194233479112836402e-07
1780 -2.3931706187445421063e-08 -1.2154641666888436455e-07
1790 -2.2270702724092949796e-08 -1.1990079791720037665e-07
1800 -2.0336676248476487755e-08 -1.1697303712091634857e-07
1810 -1.814847543228775522e-08 -1.1272899108908181672e-07
1820 -1.5715764103034832181e-08 -1.0712425585347201112e-07
1830 -1.3048480476430533753e-08 -1.00138101060813937e-07
1840 -1.0166145904660352144e-08 -9.1789625998621410803e-08
1850 -7.0987783983824814743e-09 -8.2138517201469883539e-08
1860 -3.89340798596994301e-09 -7.130509350533061386e-08
1870 -6.1590107435165505467e-10 -5.946065297943725357e-08
1880 2.6556014356964497763e-09 -4.6822109373617146279e-08
1890 5.8417719459573553289e-09 -3.3632587036105148141e-08
1900 8.8669298132152079107e-09 -2.0137772570507005992e-08
1910 1.1670985826530548781e-08 -6.5651541742634538836e-09
1920 1.4211337518660131577e-08 6.8948412617637934702e-09
1930 1.6461950049308143056e-08 2.0088152899303561952e-08
1940 1.8416336860598443447e-08 3.2905886992077473229e-08
1950 2.0082305211939057215e-08 4.5270019465470317081e-08
1960 2.1479299836559830863e-08 5.7130632752977521064e-08
1970 2.2638827900939863946e-08 6.8462068353297286497e-08
1980 2.3595782038918157938e-08 7.9237107718387172503e-08
1990 2.4385311967986369749e-08 8.9439342873789216759e-08
2000 2.504973326624069654e-08 9.9052696619239744126e-08
2010 2.5625941436848522435e-08 1.0805523315840096655e-07
2020 2.6147071821308426225e-08 1.1642524593925947012e-07
2030 2.6632622866698765565e-08 1.2412729788668846466e-07
2040 2.7085223577998635982e-08 1.3112398096613211616e-07
2050 2.749536701432929299e-08 1.3737454454871152773e-07
2060 2.7842982278694579506e-08 1.4283482463245977346e-07
2070 2.8104483405567100854e-08 1.4746802738507618558e-07
2080 2.8259315207121839472e-08 1.5125393188991343452e-07
2090 2.8295408661218688329e-08 1.5419075389559798969e-07
2100 2.821566488813613896e-08 1.5630072456185878735e-07
2110 2.803112018446493923e-08 1.5761294144627081695e-07
2120 2.775783312123826676e-08 1.5816290502671746827e-07
2130 2.7410055395438859656e-08 1.5798472939539306518e-07
2140 2.700152149466187646e-08 1.5710977737982018166e-07
