s vacf_x VACF
2080 4.1082073101877056788e-08 2.2390117672094049018e-07
2090 4.289287411110149198e-08 2.257360452614094106e-07
2100 4.4799467329934754556e-08 2.2759960626626073062e-07
2110 4.6697846830401617009e-08 2.293428585972041847e-07
2120 4.8465898873660770557e-08 2.3077017728830127036e-07
2130 4.9982024992391290163e-08 2.3169372736438152916e-07
2140 5.1133748008570026795e-08 2.3195988737755379998e-07
2150 5.1844998343065679414e-08 2.3147136828618893443e-07
2160 5.2078615943105692958e-08 2.3018765457349751237e-07
2170 5.1853284892301047217e-08 2.2814063746624768238e-07
2180 5.1243207562981064619e-08 2.254345244422072884e-07
2190 5.0365867366366574811e-08 2.2223444474123085516e-07
2200 4.9364954341926459305e-08 2.1874852550847064198e-07
2210 4.838414988171450236e-08 2.1518213151070318906e-07
2220 4.7558880281237077842e-08 2.1171088014978313608e-07
2230 4.7004354426703602755e-08 2.084533733602149721e-07
2240 4.6811080092628459675e-08 2.0546425234764051321e-07
2250 4.7051017547876842818e-08 2.0275294649419158433e-07
2260 4.7773445988548263704e-08 2.0031302930084098412e-07
2270 4.9006023442205097165e-08 1.9814278525534842219e-07
2280 5.0746657272669128031e-08 1.9624729288957848317e-07
2290 5.2965058300140735044e-08 1.9464968492506835012e-07
2300 5.5597998163815760372e-08 1.933738250668095339e-07
2310 5.8546817763487936323e-08 1.9241398679933299538e-07
2320 6.1685515233482687891e-08 1.9174072263089048799e-07
2330 6.4869339566829269082e-08 1.9129186437584384429e-07
2340 6.7952735591608234322e-08 1.9099419941527214652e-07
2350 7.0800339841231774995e-08 1.9079217498907992381e-07
2360 7.3300279084427050326e-08 1.9064094219896337497e-07
2370 7.5371167595296426922e-08 1.9053607486800824588e-07
2380 7.6980442525538608041e-08 1.9052473199981082149e-07
2390 7.8152005972297449185e-08 1.9071270302570896183e-07
2400 7.8941050464305571509e-08 1.9121320274409303107e-07
2410 7.9401349382653175148e-08 1.9209672290071776335e-07
2420 7.9553429485728666773e-08 1.9333921725221687276e-07
2430 7.9373204532485903343e-08 1.9483199697108578545e-07
2440 7.8808052512446439631e-08 1.9641265100241288371e-07
2450 7.7801434402874792586e-08 1.9788860405095763333e-07
2460 7.6314723869347348475e-08 1.9907214766219572168e-07
2470 7.4348105417102259214e-08 1.9981292308526967111e-07
2480 7.1963178904710588153e-08 2.0002661683955079263e-07
2490 6.9280605940281659538e-08 1.9969118295438630964e-07
2500 6.6466364410758454731e-08 1.9885421000172043891e-07
2510 6.3713122284262498849e-08 1.9761738638404551843e-07
2520 6.1213282315390941956e-08 1.961209691342378143e-07
2530 5.9140138090269508698e-08 1.9452681210667663804e-07
2540 5.7632688128860952435e-08 1.9299965575262423018e-07
2550 5.6783051430803874627e-08 1.916846415448901079e-07
2560 5.6641830495110527926e-08 1.9070638175661482003e-07
2570 5.7215107332147907249e-08 1.9014225436756071393e-07
2580 5.8461528657715080936e-08 1.90000179051420374e-07
2590 6.0299939652230808925e-08 1.9022330629169728258e-07
2600 6.2616469017928276478e-08 1.9069555646657447351e-07
2610 6.5278753178438120369e-08 1.9126261050461439732e-07
2620 6.8154977651933743946e-08 1.9178705401463604714e-07
2630 7.1112004847161626506e-08 1.9216722732236666348e-07
2640 7.4033570121926040108e-08 1.9237567899008630172e-07
2650 7.6826713195708783744e-08 1.9245290940169978711e-07
2660 7.9413033594443234156e-08 1.9247727167516791149e-07
2670 8.1728215377801828908e-08 1.9254109458473918981e-07
2680 8.3728580430083354611e-08 1.9272283771415652205e-07
2690 8.5388231689410426619e-08 1.930689490506890921e-07
2700 8.6706747877315187948e-08 1.9358942964467086845e-07
2710 8.7710564087132985934e-08 1.9426057394120835446e-07
2720 8.8443738862740362877e-08 1.9504563405651396623e-07
2730 8.8952737985120997787e-08 1.9588351021636575683e-07
2740 8.9270088722967945019e-08 1.9670504354090633036e-07
2750 8.9393367614361698266e-08 1.9743744728027873207e-07
2760 8.9280670343551862937e-08 1.9802477075224542175e-07
2770 8.8866513704489059326e-08 1.9844457514913242708e-07
2780 8.8082838774378977424e-08 1.9870273462431880629e-07
2790 8.6877441991224308138e-08 1.9879757992093361977e-07
2800 8.5233239011707172952e-08 1.9868987442972443825e-07
2810 8.3167333781148418235e-08 1.9828895367991914155e-07
