s vacf_x VACF
1330 -9.4789238262997422769e-08 -2.6768492738313767621e-07
1340 -9.3143959869757729789e-08 -2.6670369244852191681e-07
1350 -9.033017313713857263e-08 -2.6229712748640535487e-07
1360 -8.637481289579813998e-08 -2.5455767264244579406e-07
1370 -8.1327795345064635654e-08 -2.436300510855756773e-07
1380 -7.5262765776553504467e-08 -2.2972812591310149822e-07
1390 -6.8273259438955520311e-08 -2.1311904779307681867e-07
1400 -6.0476297733987053704e-08 -1.9411934168915065021e-07
1410 -5.2005764060798463396e-08 -1.7308863720240223091e-07
1420 -4.3003559891604543086e-08 -1.5040978136211003383e-07
1430 -3.3616738230707235747e-08 -1.2648050000257293427e-07
1440 -2.39928645153032483e-08 -1.0169740166765635596e-07
1450 -1.427503027152254569e-08 -7.6449723337640991882e-08
1460 -4.6008444450580377387e-09 -5.1105622437756797928e-08
1470 4.9008931835800630438e-09 -2.6008718326584803397e-08
1480 1.4110468553904140216e-08 -1.4727920757080733024e-09
1490 2.291766305430140844e-08 2.2213361744480273858e-08
1500 3.1220671546509644372e-08 4.4782211595538920528e-08
1510 3.8925921577443422065e-08 6.5983278184719706268e-08
1520 4.5943541092176858583e-08 8.5587878464000551629e-08
1530 5.2191892473136451562e-08 1.0338353022656839306e-07
1540 5.7598361752709048934e-08 1.1918432206528253037e-07
1550 6.2106075650335758094e-08 1.3283490425835749681e-07
1560 6.566696472161582618e-08 1.4420714330299327202e-07
1570 6.8246524326369480142e-08 1.5320669359650013758e-07
1580 6.9827531333632607316e-08 1.5977790125996005088e-07
1590 7.0408726359771782346e-08 1.6390119406208976033e-07
1600 7.0001884251177015895e-08 1.6558468443289315675e-07
1610 6.8631979362413626444e-08 1.6486081764515432498e-07
1620 6.6339933166589681073e-08 1.6178302699960989388e-07
1630 6.3181965473764382151e-08 1.5642632451380080026e-07
1640 5.9227882731509274943e-08 1.4889199659136491237e-07
1650 5.4555157921372338819e-08 1.3929608318582729132e-07
1660 4.9253241193838922397e-08 1.2778399919932151439e-07
1670 4.3422312351800626069e-08 1.1452871405253187251e-07
1680 3.7169058290131739157e-08 9.9731133692538757505e-08
1690 3.0603050709135257702e-08 8.3615458234357530843e-08
