LAMMPS data file. CGCMM Style. atom_style full. Created by charmm2lammps v1.9.2 on Текущая дата: 20.02.2023 

         699  atoms
         466  bonds
         233  angles
           0  dihedrals
           0  impropers

           2  atom types
           1  bond types
           1  angle types
           0  dihedral types
           0  improper types

      -0.011       19.989 xlo xhi
     -0.0065      19.9935 ylo yhi
        0.08        20.08 zlo zhi

Masses

       1      1.008  # HT
       2    15.9994  # OT

Pair Coeffs # lj/charmm/coul/long

       1            0.046   0.400013524445            0.046   0.400013524445  # HT
       2           0.1521    3.15057422683           0.1521    3.15057422683  # OT

Atoms # full

     144      48     1     0.417            9.394           12.999           17.102  # HT
     145      49     2    -0.834           18.441           16.134             3.84  # OT
     146      49     1     0.417            18.61           16.488            2.968  # HT
     147      49     1     0.417           19.113           15.407            3.961  # HT
     148      50     2    -0.834            15.43            3.274            7.407  # OT
     149      50     1     0.417           15.458            2.741            8.157  # HT
     150      50     1     0.417           15.933             2.74             6.77  # HT
     151      51     2    -0.834           13.134            4.535            6.559  # OT
     152      51     1     0.417           12.434            3.932            6.938  # HT
     153      51     1     0.417           13.959            4.162            6.965  # HT
     154      52     2    -0.834           10.295           14.066            14.32  # OT
     155      52     1     0.417           10.592           14.067           15.226  # HT
     156      52     1     0.417            9.322           14.226            14.35  # HT
     157      53     2    -0.834           16.008           17.797            11.41  # OT
     158      53     1     0.417           16.695           17.702           10.684  # HT
     159      53     1     0.417           15.186           17.521           10.942  # HT
     160      54     2    -0.834           15.398            1.552           18.246  # OT
     161      54     1     0.417           16.016            1.951           17.566  # HT
     162      54     1     0.417           14.574            2.011           18.109  # HT
     163      55     2    -0.834             7.83           19.751            1.995  # OT
     164      55     1     0.417            7.257            19.87            1.247  # HT
     165      55     1     0.417            8.329           18.923            1.885  # HT
     166      56     2    -0.834           15.027           11.249            9.806  # OT
     167      56     1     0.417           15.636           10.953            9.104  # HT
     168      56     1     0.417           14.929           12.194            9.545  # HT
     169      57     2    -0.834              6.8           16.659           17.184  # OT
     170      57     1     0.417            7.143           16.649           16.327  # HT
     171      57     1     0.417            7.109           17.502           17.568  # HT
     172      58     2    -0.834           14.603            18.11            3.213  # OT
     173      58     1     0.417           14.275           17.655            3.963  # HT
     174      58     1     0.417           13.842           18.606            2.878  # HT
     175      59     2    -0.834            1.615           17.355           14.355  # OT
     176      59     1     0.417            1.225            16.48            14.42  # HT
     177      59     1     0.417            0.859           17.984           14.051  # HT
     178      60     2    -0.834            9.784            18.06           16.439  # OT
     179      60     1     0.417           10.576           18.166           15.922  # HT
     180      60     1     0.417            9.941           18.584           17.234  # HT
     181      61     2    -0.834            2.369            19.62           10.838  # OT
     182      61     1     0.417            2.051           19.425           11.701  # HT
     183      61     1     0.417            3.347           19.717           10.923  # HT
     184      62     2    -0.834           15.158           15.218            1.453  # OT
     185      62     1     0.417           15.286           16.123             1.16  # HT
     186      62     1     0.417           14.175           15.219            1.587  # HT
     187      63     2    -0.834            7.929            9.601            4.322  # OT
     188      63     1     0.417            7.364            10.34            3.912  # HT
     189      63     1     0.417            7.318            9.011             4.82  # HT
     190      64     2    -0.834             3.32            1.439            3.693  # OT
     191      64     1     0.417            3.018            1.263            2.795  # HT
